SampleId,SampleType,AverageNumberOfAddedLines,MaxNumberOfAddedLines,AgeInDays,AverageNumberOfDaysBetweenChanges,NumberOfBugFixes,CodeChurn,MeanCommitMessageLength,NumberOfRevisions,NumberOfCommitsWithoutMessage,DaysWithCommits,AverageNumberOfDeletedLines,MaxNumberOfDeletedLines,MeanAuthorCommits,NumberOfDistinctCommitters,AverageNumberOfModifiedLines,MaxNumberOfModifiedLines,NumberOfRefactorings,AuthorFragmentation,DaysPassedSinceTheLastChange,LambdaDensity,LinesOfCode,MethodReferenceDensity,NumberOfAccessorMethods,NumberOfLambdaExpressions,NumberOfMethodReferences,NumberOfMethods,NumberOfMutatorMethods,NumberOfPublicFields,NumberOfPrivateFields,WeightedMethodsPerClass,WeightedMethodsPerClassWithoutAccessorAndMutatorMethods,WeightOfClass,NumberOfPublicMethods,ResponseForClass,NumberOfFieldAnnotations
5786929,CLASS,48.78947368421053,791,1787,42,2,1427,93.34210526315789,38,0,38,11.236842105263158,90,274.8181818181818,11,60.026315789473685,791,3,46,179,0.0,1120,0.0,3,0,0,44,1,0,57,155,151,0.9090909090909091,10,289,13
5789396,CLASS,12.375,82,374,23,1,86,71.375,8,0,6,1.625,6,186.5,2,14.0,82,0,4,184,0.0,29,0.0,0,0,0,1,0,1,1,2,2,1.0,0,4,0
5799314,CLASS,19.416666666666668,86,4046,165,0,126,86.5,12,0,12,8.916666666666666,26,1500.0,2,28.333333333333332,86,0,2,2065,0.0,65,0.0,0,0,0,5,0,0,5,15,15,1.0,3,12,0
5799022,CLASS,26.0,90,3691,547,1,96,114.0,4,0,4,2.0,5,1095.3333333333333,3,28.0,90,0,3,1500,0.0,36,0.0,1,0,0,4,0,0,3,7,6,0.75,0,9,2
5812130,CLASS,32.375,221,1466,118,2,250,65.125,8,0,6,1.125,4,3412.75,4,33.5,222,1,1,518,0.0,6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
5822090,CLASS,10.833333333333334,122,2437,123,3,139,66.72222222222223,18,0,13,3.111111111111111,16,1144.5,2,13.944444444444445,122,4,12,215,0.0,94,0.0,2,0,0,6,0,0,2,20,18,0.6666666666666666,3,29,0
5828468,CLASS,69.21428571428571,293,455,4,0,434,72.57142857142857,14,0,9,38.214285714285715,108,16.0,2,107.42857142857143,293,1,20,393,0.0,400,0.0,1,0,0,18,3,0,43,75,71,0.7777777777777778,9,213,0
5839091,CLASS,42.314516129032256,1131,4744,38,48,1743,114.04838709677419,124,0,92,28.258064516129032,1131,3966.090909090909,11,70.5725806451613,2262,7,1,24,0.0,30,0.0,0,0,0,1,0,0,1,5,5,1.0,1,7,0
5839770,CLASS,53.4,356,145,3,6,639,72.45,20,0,8,21.45,183,10091.666666666666,3,74.85,400,0,1,77,0.0,8,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0
5827650,CLASS,47.0,86,2268,19,1,85,111.5,2,0,2,4.5,9,2262.0,1,51.5,86,1,3,2229,0.0,53,0.0,1,0,0,6,0,0,3,14,13,0.8333333333333334,6,25,0
5855407,CLASS,23.333333333333332,59,358,44,1,55,176.66666666666666,3,0,3,5.0,14,14977.5,2,28.333333333333332,59,0,4,226,0.0,7,0.0,0,0,0,2,0,0,0,2,2,1.0,0,2,0
5857044,CLASS,26.5,38,4472,98,0,42,79.5,2,0,2,5.5,11,302.0,2,32.0,38,1,1,4275,0.0,14,0.0,0,0,0,1,0,0,1,1,1,1.0,1,5,0
5866628,CLASS,20.8,75,3534,313,1,90,67.4,5,0,5,2.8,9,3047.0,2,23.6,75,0,3,1969,0.0,34,0.0,0,0,0,3,0,1,1,4,4,1.0,2,14,0
5871455,CLASS,19.0,35,4472,13,0,35,126.0,2,0,2,1.5,3,475.5,2,20.5,35,0,1,4446,0.0,7,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0
5875400,CLASS,11.125,43,1925,64,0,84,68.125,8,0,7,0.625,2,950.5,2,11.75,43,1,4,1412,0.0,19,0.0,0,0,0,6,0,0,0,6,6,1.0,0,6,0
5884892,CLASS,29.97142857142857,208,2202,42,8,440,67.88571428571429,35,0,28,17.4,184,482.8888888888889,9,47.371428571428574,392,0,10,716,0.0,241,0.0,3,0,0,19,7,1,16,48,38,0.47368421052631576,14,94,0
5894781,CLASS,8.5,45,1859,108,3,27,154.41666666666666,12,0,12,6.25,29,88.75,4,14.75,56,0,1,558,0.0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
5894436,CLASS,11.5,42,2728,146,0,22,34.833333333333336,6,0,5,7.833333333333333,32,384.75,4,19.333333333333332,42,0,2,1849,0.0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
5870863,CLASS,28.6,114,4472,195,1,109,98.6,5,0,5,6.8,25,1761.25,4,35.4,114,0,3,3493,0.0,56,0.0,2,0,0,9,0,0,0,11,9,0.7777777777777778,8,24,0
